,biomass_delta_g_mean
prev_Volume_L_daily_net_change,0.5322913855792026
prev_Volume_L_delta_sum,0.43798834446306156
prev_WaterTemp_C_daily_net_change,0.2708653635281385
prev_Volume_L_delta_mean,0.2447097091310576
prev_AirHum_pct_daily_net_change,0.23122552471391722
prev_WaterTemp_C_delta_sum,0.22604569511518763
prev_AirHum_pct_delta_sum,0.19483563048673758
prev_AirHum_pct_delta_mean,0.18592471508752
prev_AirTemp_C_min,0.1518655176384568
prev_EC_dS_m_range,0.12536678707960436
prev_EC_dS_m_delta_abs_mean,0.11348676207218836
prev_WaterTemp_C_min,0.09055881220566137
prev_WaterTemp_C_mean,0.08999259475324745
prev_WaterTemp_C_delta_mean,0.08910205255283862
prev_AirTemp_C_delta_sum,0.0845912569102831
prev_AirHum_pct_min,0.038756005419473286
prev_EC_dS_m_max,0.03273961558657136
prev_AirTemp_C_delta_mean,-0.008894511832950324
prev_EC_dS_m_mean,-0.016644262007136413
prev_AirTemp_C_mean,-0.040120827329324496
prev_AirTemp_C_daily_net_change,-0.04660585435187275
prev_WaterTemp_C_max,-0.04893050084007972
prev_WaterTemp_C_delta_abs_mean,-0.05444414415016058
prev_EC_dS_m_min,-0.09347984000905635
prev_AirHum_pct_mean,-0.09606178888836622
prev_WaterTemp_C_range,-0.10394598714928963
prev_EC_dS_m_delta_mean,-0.17902788583566834
prev_EC_dS_m_daily_net_change,-0.1970330974375046
prev_EC_dS_m_delta_sum,-0.1991985370679853
prev_Volume_L_range,-0.21508869648279896
prev_AirHum_pct_max,-0.2185617209614115
prev_AirTemp_C_max,-0.29187646970790676
prev_AirHum_pct_range,-0.30629952501997726
prev_AirTemp_C_range,-0.3242098150664845
prev_AirHum_pct_delta_abs_mean,-0.326516819461058
prev_AirTemp_C_delta_abs_mean,-0.35710374836397335
prev_Volume_L_delta_abs_mean,-0.42678186677292873
prev_Volume_L_min,-0.496394673674165
prev_Volume_L_max,-0.5363826753752244
prev_Volume_L_mean,-0.5560092098429005
